penalty,.iter,.metric,.estimator,mean,n,std_err,.config,model
8.136284717546641e-4,0,f_meas,binary,0.5157778291441989,15,0.011221313704074922,Model18,lasso-glove
8.136284717546641e-4,0,kap,binary,0.4632384545128432,15,0.011238209315154225,Model18,lasso-glove
8.136284717546641e-4,0,npv,binary,0.9824002931280174,15,0.0013453624396586848,Model18,lasso-glove
8.136284717546641e-4,0,ppv,binary,0.38374451093600825,15,0.011033987497522489,Model18,lasso-glove
8.136284717546641e-4,0,precision,binary,0.38374451093600825,15,0.011033987497522494,Model18,lasso-glove
8.136284717546641e-4,0,recall,binary,0.7944139719854345,15,0.015458528594691845,Model18,lasso-glove
8.136284717546641e-4,0,roc_auc,binary,0.9345542019024612,15,0.0029008084637216153,Model18,lasso-glove
0.003180980032571653,0,bal_accuracy,binary,0.8502396035157117,15,0.00763164754791432,Model19,lasso-glove
0.003180980032571653,0,f_meas,binary,0.5132793452264419,15,0.01138132652350063,Model19,lasso-glove
0.003180980032571653,0,kap,binary,0.46006375193686816,15,0.011606139829221145,Model19,lasso-glove
0.003180980032571653,0,npv,binary,0.9829865122934598,15,0.0015819817252292606,Model19,lasso-glove
0.003180980032571653,0,ppv,binary,0.37936301418522655,15,0.011597547927150396,Model19,lasso-glove
0.003180980032571653,0,precision,binary,0.37936301418522655,15,0.011597547927150396,Model19,lasso-glove
0.003180980032571653,0,recall,binary,0.8045208056386971,15,0.016712689031679398,Model19,lasso-glove
0.003180980032571653,0,roc_auc,binary,0.93725056206688,15,0.0029928945111585164,Model19,lasso-glove
0.006824198972576429,0,bal_accuracy,binary,0.8516771937645915,15,0.007922871914341267,Model20,lasso-glove
0.006824198972576429,0,f_meas,binary,0.5125992749657731,15,0.010559776885106417,Model20,lasso-glove
0.006824198972576429,0,kap,binary,0.4591208820452155,15,0.010756707484310252,Model20,lasso-glove
0.006824198972576429,0,npv,binary,0.9832258842877516,15,0.0016614605215987022,Model20,lasso-glove
0.006824198972576429,0,ppv,binary,0.3777564543365378,15,0.010947958920397802,Model20,lasso-glove
0.006824198972576429,0,precision,binary,0.3777564543365378,15,0.0109479589203978,Model20,lasso-glove
0.006824198972576429,0,recall,binary,0.8084756991239732,15,0.017366594989905455,Model20,lasso-glove
0.006824198972576429,0,roc_auc,binary,0.9361659055793088,15,0.003022408126765194,Model20,lasso-glove
0.015608988138063823,0,bal_accuracy,binary,0.8331916269731341,15,0.008473226321114252,Model21,lasso-glove
0.015608988138063823,0,f_meas,binary,0.4811662823345294,15,0.01090609417640843,Model21,lasso-glove
0.015608988138063823,0,kap,binary,0.42324293915247685,15,0.011408213938600895,Model21,lasso-glove
0.015608988138063823,0,npv,binary,0.9806776614396318,15,0.0017245782134710005,Model21,lasso-glove
0.015608988138063823,0,ppv,binary,0.34963101253115053,15,0.010538788981351861,Model21,lasso-glove
0.015608988138063823,0,precision,binary,0.34963101253115053,15,0.010538788981351861,Model21,lasso-glove
0.015608988138063823,0,recall,binary,0.7811026374364194,15,0.017566592873906366,Model21,lasso-glove
0.015608988138063823,0,roc_auc,binary,0.9290638827519985,15,0.0035153258630606127,Model21,lasso-glove
0.03345873496132379,0,bal_accuracy,binary,0.8192727975597489,15,0.00931756841937073,Model22,lasso-glove
0.03345873496132379,0,f_meas,binary,0.4727177313464699,15,0.009354649415886205,Model22,lasso-glove
0.03345873496132379,0,kap,binary,0.41453185155936473,15,0.009714441095493338,Model22,lasso-glove
0.03345873496132379,0,npv,binary,0.97805650771746655,15,0.001874487482267036,Model22,lasso-glove
0.03345873496132379,0,ppv,binary,0.3471475938855061,15,0.008774299899818412,Model22,lasso-glove
0.03345873496132379,0,precision,binary,0.3471475938855061,15,0.008774299899818408,Model22,lasso-glove
